ID,Name,Longitude,Latitude,Rating
191,Andies,-87.668624,41.977622,3.65
267,Fornello Trattoria,-87.654707,41.9545029,3.13
374,Blue Elephant,-87.661983,41.998161,3.59
381,Chicago Joe's,-87.685353,41.954131,3.28
385,Dharma Garden,-87.705884,41.953856,3.55
395,Smokin' Woody's,-87.6811,41.957297,3.56
411,Pekin House,-87.687813,41.997657,3.22
414,Young's Chinese Restaurant,-87.669255,41.953465,3.54
416,Pockets,-87.682598,41.959595,3.34
429,Taqueria El Ranchito,-87.666986,41.966506,3.14
441,Thai Pastry,-87.660018,41.972426,3.72
522,Oh Fusion,-87.654504,41.953656,2.96
544,Aroy Thai,-87.679177,41.96666,3.59
555,Indie Cafe,-87.660227,41.990237,3.92
561,Tank Sushi,-87.685544,41.96342,3.84
573,Morseland,-87.662599,42.007952,3.52
576,Carmen's of Loyola,-87.66113,42.001687,3.14
578,Barry's Spot Pizza,-87.660556,41.987231,2.59
596,Thai Sookdee,-87.685504,42.048463,3.72
597,Cozy Noodles & Rice,-87.685689,42.047048,3.71
601,Siam Splendour,-87.687143,42.052156,3.55
618,Byron's Hot Dog ,-87.671256,41.969031,3.19
641,El Paisano's ,-87.705593,41.953853,3.12
742,Players Grill,-87.82469,42.170739,2.50
792,Plenty Chinese Restaurant,-87.679094,41.96145,3.36
830,Carmen's of Evanston,-87.68606,42.048621,3.30
832,Edwardo's Natural Pizza,-87.74699,42.049809,3.34
842,Village Inn Pizzeria Sports Bar & Grill,-87.75456,42.027692,3.18
853,Siam Pasta,-87.682145,42.041165,3.13
879,D'Agostino's Pizzeria,-87.815514,42.095477,3.40
882,Pinocchio's Pizza & Pub,-87.805962,42.01713,2.85
920,Edwardo's Natural Pizza,-87.905308,42.139685,3.75
986,Giuseppe's La Cantina,-87.894465,42.022729,2.44
995,Sarpino's Pizzeria,-87.90976,42.023309,3.78
3278,Sushi Thai Avenue,-87.659702,41.972777,3.48
3317,WaPaGhetti's Pizza,-87.933697,42.141887,3.18
3323,Grecian Kitchen Delight,-87.726995,42.04096,3.26
3331,Fiesta Mexicana,-87.659674,41.969205,3.38
28191,House of Ribs,-87.661665,41.965339,2.96
29030,Chicago's Pizza & Pasta,-87.67671,41.961531,3.33
29172,Sarpino's Pizzeria,-87.917844,42.158753,3.00
30091,Go Roma,-87.854928,42.138266,3.36
30738,Myron & Phil's Restaurant,-87.726259,41.997231,3.18
31049,The Baked Tomato,-87.728251,41.959901,2.95
31183,Golden River,-87.807209,41.964962,3.19
31192,Thai Oscar Restaurant,-87.688863,41.966005,3.48
31348,Rosati's Pizza,-87.6597068,41.9707265,2.96
31381,Furama Restaurant,-87.659992,41.972135,3.61
33304,Nancy's Pizzeria,-87.8446939,42.0545295,3.91
33774,Siam Pasta,-87.690565,42.016309,3.55
33794,Grande Noodles & Sushi Bar,-87.672563,42.002757,3.62
33801,Andies ,-87.667267,41.961765,3.34
33804,Apart Pizza Company ,-87.684142,41.961431,3.39
33805,Suparossa,-87.810235,41.967098,3.35
54201,Thai Room,-87.688656,41.954812,3.67
54366,Quiznos,-87.65013,41.953937,3.13
54421,The Spot,-87.6563,41.963291,3.13
54462,Wild Dogz,-87.679321,42.046521,3.44
54550,Ranalli's of Andersonville,-87.668436,41.97792,3.36
54553,Papa Romeo's Pizza,-87.672691,42.004307,3.17
54667,Suparossa,-87.767078,41.957984,3.33
54691,Sahara Kabob,-87.672175,42.002748,3.72
54698,Bacci Pizzeria (on Milwaukee),-87.754002,41.960058,3.14
54699,Bacci Pizzeria (in Schiller Park),-87.8673954,41.9657396,2.87
54703,Papa Romeo's in Skokie,-87.726538,42.040697,3.10
54709,Kitchenette,-87.668884,41.950843,3.42
54714,Tedino's Pizzeria & Restaurant,-87.6550287,41.9790828,3.51
54720,Rosati's Pizza,-87.920521,42.163646,3.78
55049,Papa Romeo's Pizza,-87.669795,41.954215,3.09
55057,Bombay Kabab House,-87.677757,42.019131,4.02
60358,Gino's East Of Chicago,-87.84465,41.987545,3.40
60390,The Godfather's Famous Pizza,-87.661665,41.965339,2.95
60484,Rosati's Pizza,-87.817007,42.029301,2.82
60524,Dear Franks,-87.770087,42.011894,4.13
60564,Villa Rosa Pizza Pasta & More,-87.762508,41.997256,2.92
60569,Siam Country,-87.679132,41.966116,3.44
60648,El Pueblito,-87.747893,41.974214,3.34
60658,See Thru Chinese Kitchen,-87.728039,41.972137,3.19
60735,Kamehachi,-87.826095,42.129145,3.60
60749,Chicago's Pizza & Pasta,-87.741288,41.953392,3.64
60777,Bub's Gyros,-87.771825,41.953,3.71
60811,Manzos Ristorante,-87.708488,41.953969,3.31
60824,Pinto Thai Kitchen,-87.700152,42.064281,3.63
60837,Herm's Palace,-87.71383,42.040816,3.39
60950,Mei Shung,-87.659985,41.98198,3.30
61214,Wally's Restaurant,-87.851254,42.024966,3.94
61308,The Original Mama Mia's Pizzeria,-87.836672,41.964272,3.50
61330,Vince's Italian Restaurant,-87.8070745,41.96713,3.42
61384,Spoon Thai,-87.688832,41.965133,3.60
61412,Rama Thai Kitchen,-87.798321,42.078272,4.33
62806,Allegretti's Stuffed Pizza,-87.900394,42.023654,3.00
63033,Green Basil Thai Restaurant,-87.9445,42.239992,4.25
63051,Sarpinos Pizzeria,-88.028634,42.1391,2.00
63098,Simon Lin's Asian Bistro,-87.932423,42.199132,3.00
63162,Tasty Thai Restaurant,-87.947574,42.241014,3.60
63175,China Garden,-87.960349,42.036441,3.85
63223,Vini's Pizza,-88.061824,42.110334,3.44
63259,Caruso's Pizza,-87.859964,42.053644,3.22
